Ash Fields - Ashtown - Seaport - POILU 1 - X: 0.5363015 Y: 0.4727113,2026.06.05-19.46.58
“Dusk” ce.III (Crate),0
Booker Storm Rifle Model 838 (Crate),0
Aalto Storm Rifle 24 (Crate),0
7.92mm (Crate),15
Catara mo.II (Crate),0
KRN886-127 Gast Machine Gun (Crate),0
Malone MK.2 (Crate),0
Bomastone Grenade (Crate),0
A3 Harpa Fragmentation Grenade (Crate),0
Ferro 879 (Crate),0
Cascadier 873 (Crate),0
Ahti Model 2 (Crate),0
8mm (Crate),0
Cometa T2-9 (Crate),0
The Hangman 757 (Crate),0
.44 Mag (Crate),0
Catena rt.IV Auto-Rifle (Crate),37
Sampo Auto-Rifle 77 (Crate),0
Argenti r.II Rifle (Crate),0
Volta r.I Repeater (Crate),7
Fuscina pi.I (Crate),0
Blakerow 871 (Crate),0
KRR2-790 Omen (Crate),0
Clancy Cinder M3 (Crate),0
No.2B Hawthorne (Crate),0
No.2 Loughcaster (Crate),0
KRR3-792 Auger (Crate),0
Clancy-Raca M4 (Crate),0
7.62mm (Crate),26
KRF1-750 Dragonfly (Crate),2
No.4 The Pillory Scattergun (Crate),0
Buckshot (Crate),1
“The Pitch Gun” mc.V (Crate),0
“Lionclaw” mc.VIII (Crate),16
No.1 “The Liar” Submachinegun (Crate),0
Fiddler Submachine Gun Model 868 (Crate),0
9mm (Crate),48
228 Satterley Heavy Storm Rifle (Crate),0
Booker Greyhound Model 910 (Crate),0
“Dawn” Ve.II (Crate),0
“Quickhatch” Rt.I (Crate),0
“Typhon” ra.XII (Crate),0
Neville Anti-Tank Rifle (Crate),0
14.5mm (Crate),18
Venom c.II 35 (Crate),0
Bane 45 (Crate),0
Carnyx Anti-Tank Rocket Launcher (Crate),0
AP/RPG (Crate),45
Mounted Bonesaw MK.3 (Crate),0
Bonesaw MK.3 (Crate),0
ARC/RPG (Crate),0
“Molten Wind” v.II Flame Torch (Crate),0
Willow’s Bane Model 845 (Crate),0
KLG901-2 Lunaire F (Crate),38
Mounted Fissura gd.I (Crate),0
Tremola Grenade GPb-1 (Crate),37
PT-815 Smoke Grenade (Crate),0
Green Ash Grenade (Crate),53
Lamentum mm.IV (Crate),0
Malone Ratcatcher MK.1 (Crate),0
12.7mm (Crate),0
Daucus isg.III (Crate),0
30mm (Crate),23
Cremari Mortar (Crate),0
Incendiary Mortar Shell (Crate),0
Flare Mortar Shell (Crate),0
Shrapnel Mortar Shell (Crate),13
Mortar Shell (Crate),54
BF5 White Ash Flask Grenade (Crate),0
B2 Varsi Anti-Tank Grenade (Crate),0
Ignifist 30 (Crate),0
Mammon 91-b (Crate),15
Anti-Tank Sticky Bomb (Crate),0
Cutler Foebreaker (Crate),0
Cutler Launcher 4 (Crate),0
RPG (Crate),0
950-70b Anti-Aircraft Shell (Crate),0
20mm (Crate),0
94.5mm (Crate),0
75mm (Crate),0
Mark II Raidbreaker (Crate),0
Shatter Missile (Crate),0
Model-7 “Evie” (Crate),0
912 Shrike Rounds (Crate),0
4C-Fire Rocket (Crate),0
Flame Ammo (Crate),0
150mm (Crate),0
3C-High Explosive Rocket (Crate),0
Absol Anti-Aircraft Rounds (Crate),0
120mm (Crate),0
